member_id,ActivityDay,StepTotal
1,4/12/2016,3304
1,4/13/2016,6781
1,4/14/2016,6975
1,4/15/2016,16209
1,4/16/2016,1757
1,4/17/2016,5163
1,4/18/2016,1721
1,4/19/2016,5637
1,4/20/2016,14688
1,4/21/2016,13697
1,4/22/2016,16995
1,4/23/2016,13873
1,4/24/2016,19242
1,4/25/2016,11140
1,4/26/2016,18509
1,4/27/2016,4707
1,4/28/2016,11238
1,4/29/2016,4664
1,4/30/2016,16600
1,5/1/2016,1313
1,5/2/2016,1802
1,5/3/2016,1614
1,5/4/2016,14998
1,5/5/2016,7385
1,5/6/2016,19827
1,5/7/2016,16672
1,5/8/2016,4432
1,5/9/2016,9638
1,5/10/2016,17289
1,5/11/2016,5269
1,5/12/2016,8203
2,4/12/2016,2139
2,4/13/2016,13109
2,4/14/2016,18016
2,4/15/2016,12770
2,4/16/2016,9460
2,4/17/2016,11043
2,4/18/2016,11003
2,4/19/2016,10494
2,4/20/2016,10682
2,4/21/2016,18029
2,4/22/2016,6382
2,4/23/2016,6412
2,4/24/2016,14153
2,4/25/2016,18757
2,4/26/2016,1332
2,4/27/2016,16177
2,4/28/2016,9454
2,4/29/2016,18039
2,4/30/2016,19968
2,5/1/2016,18447
2,5/2/2016,3861
2,5/3/2016,2086
2,5/4/2016,15630
2,5/5/2016,6248
2,5/6/2016,9238
2,5/7/2016,19355
2,5/8/2016,17593
2,5/9/2016,18205
2,5/10/2016,7936
2,5/11/2016,6525
2,5/12/2016,8868
3,4/12/2016,8023
3,4/13/2016,5412
3,4/14/2016,4524
3,4/15/2016,17306
3,4/16/2016,1886
3,4/17/2016,14202
3,4/18/2016,7814
3,4/19/2016,17112
3,4/20/2016,13312
3,4/21/2016,13768
3,4/22/2016,2992
3,4/23/2016,11785
3,4/24/2016,4916
3,4/25/2016,5355
3,4/26/2016,5665
3,4/27/2016,3019
3,4/28/2016,15432
3,4/29/2016,17062
3,4/30/2016,9226
3,5/1/2016,7621
3,5/2/2016,1853
3,5/3/2016,10786
3,5/4/2016,1026
3,5/5/2016,19742
3,5/6/2016,16174
3,5/7/2016,5947
3,5/8/2016,10662
3,5/9/2016,8528
3,5/10/2016,8181
3,5/11/2016,19615
3,4/12/2016,11774
4,4/13/2016,15978
4,4/14/2016,8518
4,4/15/2016,19055
4,4/16/2016,6964
4,4/17/2016,8456
4,4/18/2016,9222
4,4/19/2016,4474
4,4/20/2016,10468
4,4/21/2016,6182
4,4/22/2016,4176
4,4/23/2016,3144
4,4/24/2016,11251
4,4/25/2016,15688
4,4/26/2016,8659
4,4/27/2016,6468
4,4/28/2016,17191
4,4/29/2016,9079
4,4/30/2016,6716
4,5/1/2016,18188
4,5/2/2016,9980
4,5/3/2016,11412
4,5/4/2016,1480
4,5/5/2016,17550
4,5/6/2016,18450
4,5/7/2016,17150
4,5/8/2016,14416
4,5/9/2016,18401
4,5/10/2016,13164
4,5/11/2016,12886
4,5/12/2016,19540
4,4/12/2016,8064
5,4/13/2016,10401
5,4/14/2016,3462
5,4/15/2016,8406
5,4/16/2016,18000
5,4/17/2016,15943
5,4/18/2016,3238
5,4/19/2016,15119
5,4/20/2016,14816
5,4/21/2016,17857
5,4/22/2016,12441
5,4/23/2016,6203
5,4/24/2016,3494
5,4/25/2016,19707
5,4/26/2016,15830
5,4/27/2016,8009
5,4/28/2016,1472
5,4/29/2016,19579
5,4/30/2016,3788
5,5/1/2016,1654
5,5/2/2016,16255
5,5/3/2016,18959
5,5/4/2016,10515
5,5/5/2016,13137
5,5/6/2016,3620
5,5/7/2016,19701
5,5/8/2016,4102
5,5/9/2016,2895
5,5/10/2016,7827
5,5/11/2016,11649
5,5/12/2016,11426
5,4/12/2016,5452
6,4/13/2016,18558
6,4/14/2016,3331
6,4/15/2016,9253
6,4/16/2016,10221
6,4/17/2016,6977
6,4/18/2016,7714
6,4/19/2016,10743
6,4/20/2016,13994
6,4/21/2016,1986
6,4/22/2016,19380
6,4/23/2016,9440
6,4/24/2016,10522
6,4/25/2016,17952
6,4/26/2016,17135
6,4/27/2016,9265
6,4/28/2016,14238
6,4/29/2016,14067
6,4/30/2016,7016
6,5/1/2016,1773
6,5/2/2016,3049
